Year,seed,sobol,scenario,recycling,trash,wishcycling
6,0,FALSE,North Carolina,0.116943592,0.851546524,0.031509884
6,0,FALSE,North Dakota,0.182409055,0.760374654,0.057216291
6,0,FALSE,Ohio,0.126681858,0.838026259,0.035291884
6,0,FALSE,Oklahoma,0.091947751,0.878747795,0.029304453
6,0,FALSE,Oregon,0.743838629,0.114315204,0.141846168
6,0,FALSE,Pennsylvania,0.18148855,0.774056404,0.044455047
6,0,FALSE,Rhode Island,0.405599129,0.518398693,0.076002179
6,0,FALSE,South Carolina,0.072955975,0.905070755,0.02197327
6,0,FALSE,South Dakota,0.188570384,0.767272348,0.044157268
6,0,FALSE,Tennessee,0.079112158,0.899882261,0.021005582
6,0,FALSE,Texas,0.144864913,0.816751655,0.038383432
6,0,FALSE,Utah,0.185564117,0.759227549,0.055208333
6,0,FALSE,Vermont,0.595907886,0.301789264,0.10230285
6,0,FALSE,Virginia,0.126502885,0.838935418,0.034561697
6,0,FALSE,Washington,0.280011074,0.663884275,0.056104651
6,0,FALSE,West Virginia,0.131328813,0.833142993,0.035528194
6,0,FALSE,Wisconsin,0.257127883,0.687861635,0.055010482
6,0,FALSE,Wyoming,0.129166667,0.820192684,0.050640649
7,0,FALSE,Alabama,0.086641414,0.880212121,0.033146465
7,0,FALSE,Alaska,0.062395833,0.915787037,0.02181713
7,0,FALSE,Arizona,0.184958914,0.764277421,0.050763666
7,0,FALSE,Arkansas,0.089652015,0.881954619,0.028393366
7,0,FALSE,California,0.625953638,0.252337637,0.121708725
7,0,FALSE,Colorado,0.104525745,0.861205962,0.034268293
7,0,FALSE,Connecticut,0.543953031,0.332981585,0.123065384
7,0,FALSE,Delaware,0.129335938,0.836271701,0.034392361
7,0,FALSE,Florida,0.104731157,0.860501949,0.034766894
7,0,FALSE,Georgia,0.112084141,0.852491118,0.035424742
7,0,FALSE,Hawaii,0.511048336,0.377155263,0.111796401
7,0,FALSE,Idaho,0.141536393,0.819335182,0.039128425
7,0,FALSE,Illinois,0.139942907,0.826207729,0.033849363
7,0,FALSE,Indiana,0.180493827,0.769074074,0.050432099
7,0,FALSE,Iowa,0.344673068,0.572570873,0.082756059
7,0,FALSE,Kansas,0.198176726,0.757361683,0.044461591
7,0,FALSE,Kentucky,0.10443196,0.863275073,0.032292967
7,0,FALSE,Louisiana,0.081977253,0.891267498,0.026755249
7,0,FALSE,Maine,0.809127746,0.063169119,0.127703135
7,0,FALSE,Maryland,0.353755869,0.582497066,0.063747066
7,0,FALSE,Massachusetts,0.416598661,0.493199414,0.090201925
7,0,FALSE,Michigan,0.641798396,0.229306987,0.128894616
7,0,FALSE,Minnesota,0.260670605,0.678109453,0.061219942
7,0,FALSE,Mississippi,0.09265873,0.876968039,0.03037323
7,0,FALSE,Missouri,0.118588561,0.842840303,0.038571136
7,0,FALSE,Montana,0.141423476,0.823919153,0.034657371
7,0,FALSE,Nebraska,0.147706856,0.814509456,0.037783688
7,0,FALSE,Nevada,0.173820018,0.781368228,0.044811754
7,0,FALSE,New Hampshire,0.315461216,0.622003049,0.062535735
7,0,FALSE,New Jersey,0.222453256,0.72397378,0.053572964
7,0,FALSE,New Mexico,0.12920999,0.83450051,0.036289501
7,0,FALSE,New York,0.61497459,0.296332871,0.088692539
7,0,FALSE,North Carolina,0.117599693,0.849804022,0.032596285
7,0,FALSE,North Dakota,0.181662713,0.762791617,0.05554567
7,0,FALSE,Ohio,0.12679579,0.838416884,0.034787326
7,0,FALSE,Oklahoma,0.093689374,0.876736111,0.029574515
7,0,FALSE,Oregon,0.749959612,0.11004308,0.139997307
7,0,FALSE,Pennsylvania,0.182092875,0.774263147,0.043643978
7,0,FALSE,Rhode Island,0.401721133,0.523404139,0.074874728
7,0,FALSE,South Carolina,0.067889588,0.911045597,0.021064815
7,0,FALSE,South Dakota,0.187865497,0.768551587,0.043582916
7,0,FALSE,Tennessee,0.078287982,0.899568289,0.022143729
7,0,FALSE,Texas,0.144547325,0.81671587,0.038736804
7,0,FALSE,Utah,0.176888318,0.767289764,0.055821918
7,0,FALSE,Vermont,0.59493594,0.305980782,0.099083278
7,0,FALSE,Virginia,0.12475805,0.840512749,0.034729202
7,0,FALSE,Washington,0.271885382,0.673408084,0.054706534
7,0,FALSE,West Virginia,0.129383773,0.835896978,0.034719248
7,0,FALSE,Wisconsin,0.251871069,0.693092243,0.055036688
7,0,FALSE,Wyoming,0.125924296,0.82413439,0.049941315
8,0,FALSE,Alabama,0.083929293,0.883919192,0.032151515
8,0,FALSE,Alaska,0.060179398,0.91890625,0.020914352
8,0,FALSE,Arizona,0.1831413,0.768086817,0.048771883
8,0,FALSE,Arkansas,0.087347375,0.883872609,0.028780016
8,0,FALSE,California,0.633313772,0.249877739,0.11680849
8,0,FALSE,Colorado,0.103437218,0.864494128,0.032068654
8,0,FALSE,Connecticut,0.554262363,0.32925719,0.116480447
8,0,FALSE,Delaware,0.126375868,0.841189236,0.032434896
8,0,FALSE,Florida,0.104186972,0.859665367,0.036147661
8,0,FALSE,Georgia,0.109673773,0.85310885,0.037217377
8,0,FALSE,Hawaii,0.518173258,0.372353003,0.109473739
8,0,FALSE,Idaho,0.136766683,0.824537737,0.038695579
8,0,FALSE,Illinois,0.137033377,0.829808959,0.033157664
8,0,FALSE,Indiana,0.175529835,0.773595679,0.050874486
8,0,FALSE,Iowa,0.344444444,0.574965706,0.080589849
8,0,FALSE,Kansas,0.194067215,0.763163009,0.042769776
8,0,FALSE,Kentucky,0.103048273,0.86607886,0.030872867
8,0,FALSE,Louisiana,0.083639545,0.887970254,0.028390201
8,0,FALSE,Maine,0.812401365,0.065045852,0.122552783
8,0,FALSE,Maryland,0.352083333,0.586605047,0.06131162
8,0,FALSE,Massachusetts,0.409243566,0.501407198,0.089349236
8,0,FALSE,Michigan,0.65161512,0.22489118,0.1234937
8,0,FALSE,Minnesota,0.256877073,0.682980929,0.060141998
8,0,FALSE,Mississippi,0.087172887,0.883134921,0.029692192
8,0,FALSE,Missouri,0.112310373,0.852024395,0.035665232
8,0,FALSE,Montana,0.134495244,0.829907047,0.035597709
8,0,FALSE,Nebraska,0.145756501,0.817588652,0.036654846
