product,process,conjoined_flownames,location
"Electricity, at Grid, WECC, 2008","Electricity, at Grid, WECC, 2008@Northern America","Electricity, at grid@Electricity, at Grid, WECC, 2008@Northern America",Northern America
"Electricity, at Grid, WECC, 2010","Electricity, at Grid, WECC, 2010@Northern America","Electricity, at grid@Electricity, at Grid, WECC, 2010@Northern America",Northern America
"Electricity, at bleached kraft market pulp mill","Electricity, at bleached kraft market pulp mill@Pulp, kraft market, bleached, average production, at mill","Electricity, at bleached kraft market pulp mill@Pulp, kraft market, bleached, average production, at mill@Northern America",Northern America
"Electricity, at coated freesheet mill","Electricity, at coated freesheet mill@Paper, freesheet, coated, average production, at mill","Electricity, at coated freesheet mill@Paper, freesheet, coated, average production, at mill@Northern America",Northern America
"Electricity, at coated mechanical paper mill","Electricity, at coated mechanical paper mill@Paper, mechanical, coated, average production, at mill","Electricity, at coated mechanical paper mill@Paper, mechanical, coated, average production, at mill@Northern America",Northern America
"Electricity, at cogen, for natural gas turbine","Electricity, at cogen, for natural gas turbine@Northern America","Electricity, at cogen, for natural gas turbine@Electricity, at cogen, for natural gas turbine@Northern America",Northern America
"Electricity, at eGrid, AKGD, 2008","Electricity, at eGrid, AKGD, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, AKGD, 2008@Northern America",Northern America
"Electricity, at eGrid, AKGD, 2010","Electricity, at eGrid, AKGD, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, AKGD, 2010@Northern America",Northern America
"Electricity, at eGrid, AKMS, 2008","Electricity, at eGrid, AKMS, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, AKMS, 2008@Northern America",Northern America
"Electricity, at eGrid, AKMS, 2010","Electricity, at eGrid, AKMS, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, AKMS, 2010@Northern America",Northern America
"Electricity, at eGrid, AZNM, 2008","Electricity, at eGrid, AZNM, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, AZNM, 2008@Northern America",Northern America
"Electricity, at eGrid, AZNM, 2010","Electricity, at eGrid, AZNM, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, AZNM, 2010@Northern America",Northern America
"Electricity, at eGrid, CAMX, 2008","Electricity, at eGrid, CAMX, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, CAMX, 2008@Northern America",Northern America
"Electricity, at eGrid, CAMX, 2010","Electricity, at eGrid, CAMX, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, CAMX, 2010@Northern America",Northern America
"Electricity, at eGrid, ERCT, 2008","Electricity, at eGrid, ERCT, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, ERCT, 2008@Northern America",Northern America
"Electricity, at eGrid, ERCT, 2010","Electricity, at eGrid, ERCT, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, ERCT, 2010@Northern America",Northern America
"Electricity, at eGrid, FRCC, 2008","Electricity, at eGrid, FRCC, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, FRCC, 2008@Northern America",Northern America
"Electricity, at eGrid, FRCC, 2010","Electricity, at eGrid, FRCC, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, FRCC, 2010@Northern America",Northern America
"Electricity, at eGrid, HIMS, 2008","Electricity, at eGrid, HIMS, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, HIMS, 2008@Northern America",Northern America
"Electricity, at eGrid, HIMS, 2010","Electricity, at eGrid, HIMS, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, HIMS, 2010@Northern America",Northern America
"Electricity, at eGrid, HIOA, 2008","Electricity, at eGrid, HIOA, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, HIOA, 2008@Northern America",Northern America
"Electricity, at eGrid, HIOA, 2010","Electricity, at eGrid, HIOA, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, HIOA, 2010@Northern America",Northern America
"Electricity, at eGrid, MROE, 2008","Electricity, at eGrid, MROE, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, MROE, 2008@Northern America",Northern America
"Electricity, at eGrid, MROE, 2010","Electricity, at eGrid, MROE, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, MROE, 2010@Northern America",Northern America
"Electricity, at eGrid, MROW, 2008","Electricity, at eGrid, MROW, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, MROW, 2008@Northern America",Northern America
"Electricity, at eGrid, MROW, 2010","Electricity, at eGrid, MROW, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, MROW, 2010@Northern America",Northern America
"Electricity, at eGrid, NEWE, 2008","Electricity, at eGrid, NEWE, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, NEWE, 2008@Northern America",Northern America
"Electricity, at eGrid, NEWE, 2010","Electricity, at eGrid, NEWE, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, NEWE, 2010@Northern America",Northern America
"Electricity, at eGrid, NWPP, 2008","Electricity, at eGrid, NWPP, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, NWPP, 2008@Northern America",Northern America
"Electricity, at eGrid, NWPP, 2010","Electricity, at eGrid, NWPP, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, NWPP, 2010@Northern America",Northern America
"Electricity, at eGrid, NYCW, 2008 ","Electricity, at eGrid, NYCW, 2008 @Northern America","Electricity, at grid@Electricity, at eGrid, NYCW, 2008 @Northern America",Northern America
"Electricity, at eGrid, NYCW, 2010","Electricity, at eGrid, NYCW, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, NYCW, 2010@Northern America",Northern America
"Electricity, at eGrid, NYLI, 2008","Electricity, at eGrid, NYLI, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, NYLI, 2008@Northern America",Northern America
"Electricity, at eGrid, NYLI, 2010","Electricity, at eGrid, NYLI, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, NYLI, 2010@Northern America",Northern America
"Electricity, at eGrid, NYUP, 2008","Electricity, at eGrid, NYUP, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, NYUP, 2008@Northern America",Northern America
"Electricity, at eGrid, NYUP, 2010","Electricity, at eGrid, NYUP, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, NYUP, 2010@Northern America",Northern America
"Electricity, at eGrid, RFCE, 2008","Electricity, at eGrid, RFCE, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, RFCE, 2008@Northern America",Northern America
"Electricity, at eGrid, RFCE, 2010","Electricity, at eGrid, RFCE, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, RFCE, 2010@Northern America",Northern America
"Electricity, at eGrid, RFCM, 2008","Electricity, at eGrid, RFCM, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, RFCM, 2008@Northern America",Northern America
"Electricity, at eGrid, RFCM, 2010","Electricity, at eGrid, RFCM, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, RFCM, 2010@Northern America",Northern America
"Electricity, at eGrid, RFCW, 2008","Electricity, at eGrid, RFCW, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, RFCW, 2008@Northern America",Northern America
"Electricity, at eGrid, RFCW, 2010","Electricity, at eGrid, RFCW, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, RFCW, 2010@Northern America",Northern America
"Electricity, at eGrid, RMPA, 2008","Electricity, at eGrid, RMPA, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, RMPA, 2008@Northern America",Northern America
"Electricity, at eGrid, RMPA, 2010","Electricity, at eGrid, RMPA, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, RMPA, 2010@Northern America",Northern America
"Electricity, at eGrid, SPNO, 2008","Electricity, at eGrid, SPNO, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, SPNO, 2008@Northern America",Northern America
"Electricity, at eGrid, SPNO, 2010","Electricity, at eGrid, SPNO, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, SPNO, 2010@Northern America",Northern America
"Electricity, at eGrid, SPSO, 2008","Electricity, at eGrid, SPSO, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, SPSO, 2008@Northern America",Northern America
"Electricity, at eGrid, SPSO, 2010","Electricity, at eGrid, SPSO, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, SPSO, 2010@Northern America",Northern America
"Electricity, at eGrid, SRMV, 2008","Electricity, at eGrid, SRMV, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, SRMV, 2008@Northern America",Northern America
"Electricity, at eGrid, SRMV, 2010","Electricity, at eGrid, SRMV, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, SRMV, 2010@Northern America",Northern America
"Electricity, at eGrid, SRMW, 2008","Electricity, at eGrid, SRMW, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, SRMW, 2008@Northern America",Northern America
"Electricity, at eGrid, SRMW, 2010","Electricity, at eGrid, SRMW, 2010@Northern America","Electricity, at grid@Electricity, at eGrid, SRMW, 2010@Northern America",Northern America
"Electricity, at eGrid, SRSO, 2008","Electricity, at eGrid, SRSO, 2008@Northern America","Electricity, at grid@Electricity, at eGrid, SRSO, 2008@Northern America",Northern America
