product,process,conjoined_flownames,location
"Melamine urea formaldehyde, MF, resin, neat, 60% solids","Melamine urea formaldehyde, MF, resin, neat, 60% solids@Northern America","Melamine urea formaldehyde, MF, resin, neat, 60% solids@Melamine urea formaldehyde, MF, resin, neat, 60% solids@Northern America",Northern America
"Metal composite material (MCM) panel, at plant","Metal composite material (MCM) panel, at plant@Northern America","Metal composite material (MCM) panel, at plant@Metal composite material (MCM) panel, at plant@Northern America",Northern America
"Metal composite material (MCM) sheet, at plant","Metal composite material (MCM) sheet, at plant@Northern America","Metal composite material (MCM) sheet, at plant@Metal composite material (MCM) sheet, at plant@Northern America",Northern America
"Metal panel, insulated, at plant","Metal panel, insulated, at plant@Northern America","Metal panel, insulated, at plant@Metal panel, insulated, at plant@Northern America",Northern America
"Metal panels, roof, at plant","Metal panels, roof, at plant@Metal panels, roof, at plant","Metal panels, roof, at plant@Metal panels, roof, at plant@Northern America",Northern America
"Metal panels, wall, at plant","Metal panels, wall, at plant@Metal panels, wall, at plant","Metal panels, wall, at plant@Metal panels, wall, at plant@Northern America",Northern America
"Metallurgical coke, at plant","Metallurgical coke, at plant@Northern America","Metallurgical coke, at plant@Metallurgical coke, at plant@Northern America",Northern America
"Methanol, at plant, kg","Methanol, at plant, kg@Methanol, at plant, kg","Methanol, at plant, kg@Methanol, at plant, kg@Northern America",Northern America
"Methylene diphenyl diisocyanate, MDI, at plant, US PNW","Methylene diphenyl diisocyanate, MDI, at plant, US PNW@Northern America","Methylene diphenyl diisocyanate, MDI, resin, at plant@Methylene diphenyl diisocyanate, MDI, at plant, US PNW@Northern America",Northern America
"Methylene diphenyl diisocyanate, MDI, at plant, US SE","Methylene diphenyl diisocyanate, MDI, at plant, US SE@Northern America","Methylene diphenyl diisocyanate, MDI, resin, at plant@Methylene diphenyl diisocyanate, MDI, at plant, US SE@Northern America",Northern America
"Methylene diphenyl diisocyanate, MDI, resin, at plant","Methylene diphenyl diisocyanate, MDI, resin, at plant@Methylene diphenyl diisocyanate, MDI, at plant","Methylene diphenyl diisocyanate, MDI, resin, at plant@Methylene diphenyl diisocyanate, MDI, at plant@Northern America",Northern America
Miscellaneous metal scrap,"Miscellaneous metal scrap@Aluminum, cold rolling, at plant","Miscellaneous metal scrap@Aluminum, cold rolling, at plant@Northern America",Northern America
"Mixed Alcohols, thermochemical process","Mixed Alcohols, thermochemical process@Ethanol, denatured, forest residues, thermochem","Mixed Alcohols, thermochemical process@Ethanol, denatured, forest residues, thermochem@Northern America",Northern America
"Mixed recyclables, at collection, commercial","Mixed recyclables, at collection, commercial@Northern America","Mixed recyclables, at collection, commercial@Mixed recyclables, at collection, commercial@Northern America",Northern America
"Mixed recyclables, at collection, curbside, volume basis","Mixed recyclables, at collection, curbside, volume basis@Northern America","Mixed recyclables, at collection, curbside, volume basis@Mixed recyclables, at collection, curbside, volume basis@Northern America",Northern America
"Mixed recyclables, at collection, curbside, weight basis","Mixed recyclables, at collection, curbside, weight basis@Northern America","Mixed recyclables, at collection, curbside, weight basis@Mixed recyclables, at collection, curbside, weight basis@Northern America",Northern America
"Mixed recyclables, at collection, dropoff center","Mixed recyclables, at collection, dropoff center@Northern America","Mixed recyclables, at collection, dropoff center@Mixed recyclables, at collection, dropoff center@Northern America",Northern America
"Mixed recyclables, sorted at MRF","Mixed recyclables, sorted at MRF@Northern America","Mixed recyclables, sorted at MRF@Mixed recyclables, sorted at MRF@Northern America",Northern America
"Mixed recyclables, to MRF","Mixed recyclables, to MRF@Northern America","Mixed recyclables, to MRF@Mixed recyclables, to MRF@Northern America",Northern America
"Molasses, at cellulosic fiberboard plant","Molasses, at cellulosic fiberboard plant@Cellulosic fiberboard, uncoated, at plant","Molasses, at cellulosic fiberboard plant@Cellulosic fiberboard, uncoated, at plant@Northern America",Northern America
"Natural gas, at extraction site","Natural gas, at extraction site@Northern America","Natural gas, at extraction site, 1.357 m3/kg@Natural gas, at extraction site@Northern America",Northern America
"Natural gas, at extraction, Barnett Shale, kg","Natural gas, at extraction, Barnett Shale, kg@Natural gas, at extraction, Barnett Shale, kg","Natural gas, at extraction, Barnett Shale, kg@Natural gas, at extraction, Barnett Shale, kg@United States",United States
"Natural gas, at extraction, Marcellus Shale, kg","Natural gas, at extraction, Marcellus Shale, kg@Natural gas, at extraction, Marcellus Shale, kg","Natural gas, at extraction, Marcellus Shale, kg@Natural gas, at extraction, Marcellus Shale, kg@United States",United States
"Natural gas, at extraction, coal bed methane, kg","Natural gas, at extraction, coal bed methane, kg@Natural gas, at extraction, coal bed methane, kg","Natural gas, at extraction, coal bed methane, kg@Natural gas, at extraction, coal bed methane, kg@United States",United States
"Natural gas, at extraction, conventional offshore, kg","Natural gas, at extraction, conventional offshore, kg@Natural gas, at extraction, conventional offshore, kg","Natural gas, at extraction, conventional offshore, kg@Natural gas, at extraction, conventional offshore, kg@United States",United States
"Natural gas, at extraction, conventional onshore associated, kg","Natural gas, at extraction, conventional onshore associated, kg@Natural gas, at extraction, conventional onshore associated, kg","Natural gas, at extraction, conventional onshore associated, kg@Natural gas, at extraction, conventional onshore associated, kg@United States",United States
"Natural gas, at extraction, conventional onshore, kg","Natural gas, at extraction, conventional onshore, kg@Natural gas, at extraction, conventional onshore, kg","Natural gas, at extraction, conventional onshore, kg@Natural gas, at extraction, conventional onshore, kg@United States",United States
"Natural gas, at extraction, production mixture, to consumer, kg","Natural gas, at extraction, production mixture, to consumer, kg@United States","Natural gas, at extraction, composite, kg@Natural gas, at extraction, production mixture, to consumer, kg@United States",United States
"Natural gas, at processing, conventional, kg","Natural gas, at processing, conventional, kg@United States","Natural gas, at processing, conventional, kg@Natural gas, at processing, conventional, kg@United States",United States
"Natural gas, at processing, production mixture, to consumer, kg","Natural gas, at processing, production mixture, to consumer, kg@United States","Natural gas, at processing, composite, kg@Natural gas, at processing, production mixture, to consumer, kg@United States",United States
"Natural gas, at processing, shale, kg","Natural gas, at processing, shale, kg@United States","Natural gas, at processing, shale, kg@Natural gas, at processing, shale, kg@United States",United States
"Natural gas, combusted in industrial boiler, at hydrocracker, for butadiene","Natural gas, combusted in industrial boiler, at hydrocracker, for butadiene@Northern America","Natural gas, combusted in industrial boiler, at hydrocracker, for butadiene@Natural gas, combusted in industrial boiler, at hydrocracker, for butadiene@Northern America",Northern America
"Natural gas, combusted in industrial boiler, at hydrocracker, for ethylene","Natural gas, combusted in industrial boiler, at hydrocracker, for ethylene@Northern America","Natural gas, combusted in industrial boiler, at hydrocracker, for ethylene@Natural gas, combusted in industrial boiler, at hydrocracker, for ethylene@Northern America",Northern America
"Natural gas, combusted in industrial boiler, at hydrocracker, for propylene","Natural gas, combusted in industrial boiler, at hydrocracker, for propylene@Northern America","Natural gas, combusted in industrial boiler, at hydrocracker, for propylene@Natural gas, combusted in industrial boiler, at hydrocracker, for propylene@Northern America",Northern America
"Natural gas, combusted in industrial boiler, at hydrocracker, for pyrolysis gas","Natural gas, combusted in industrial boiler, at hydrocracker, for pyrolysis gas@Northern America","Natural gas, combusted in industrial boiler, at hydrocracker, for pyrolysis gas@Natural gas, combusted in industrial boiler, at hydrocracker, for pyrolysis gas@Northern America",Northern America
"Natural gas, combusted in industrial boiler, at pulp and paper mill (EXCL.)","Natural gas, combusted in industrial boiler, at pulp and paper mill (EXCL.)@Northern America","Natural gas, combusted in industrial boiler, at pulp and paper mill (EXCL.)@Natural gas, combusted in industrial boiler, at pulp and paper mill (EXCL.)@Northern America",Northern America
"Natural gas, combusted in industrial boiler","Natural gas, combusted in industrial boiler@Northern America","Natural gas, combusted in industrial boiler@Natural gas, combusted in industrial boiler@Northern America",Northern America
