scenario,behavior,characteristics,mean,standard_deviation,min,max,value_absence,value_presence,independent_charac,booleans,strings
Connecticut,trash,err,0.0,1e-06,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Connecticut,trash,households,530.2692456,60.86769826,429.3961315,631.1969052,,,True,,
Connecticut,trash,ht,1.0,1e-06,0.0,1.0,0,1,True,,
Connecticut,trash,kn,1.0,1e-06,0.0,1.0,0,1,True,,
Connecticut,trash,name,,,,,,,,,trash
Connecticut,trash,ns,0.0,1e-06,0.0,1.0,0,1,True,,
Connecticut,trash,pbc,1.0,1e-06,0.0,1.0,0,1,True,,
Connecticut,trash,pr,0.356164384,1e-06,0.0,1.0,0,1,True,,
Connecticut,trash,sn,0.356164384,1e-06,0.0,1.0,recycling,trash,False,,
Connecticut,wishcycling,att,0.0,0.1,0.0,1.0,0,1,True,,
Connecticut,wishcycling,availability,,,,,,,,True,
Connecticut,wishcycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
Connecticut,wishcycling,ds,0.244852039,1e-06,0.0,1.0,0,1,True,,
Connecticut,wishcycling,err,-0.5,0.0669537823002131,-2.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Connecticut,wishcycling,households,530.2692456,60.86769826,429.3961315,631.1969052,,,True,,
Connecticut,wishcycling,ht,0.657880175,0.111107776,0.0,1.0,0,1,True,,
Connecticut,wishcycling,kn,0.25455894,0.062880771,0.0,1.0,0,1,True,,
Connecticut,wishcycling,name,,,,,,,,,wishcycling
Connecticut,wishcycling,ns,0.71289597,1e-06,0.0,1.0,0,1,True,,
Connecticut,wishcycling,pbc,1.0,1e-06,0.0,1.0,0,1,True,,
Connecticut,wishcycling,pr,0.107305936,1e-06,0.0,1.0,0,1,True,,
Connecticut,wishcycling,sn,0.107305936,1e-06,0.0,1.0,trash,wishcycling,False,,
Delaware,recycling,att,0.84,0.1,0.0,1.0,0,1,True,,
Delaware,recycling,availability,,,,,,,,True,
Delaware,recycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
Delaware,recycling,ds,0.0,1e-06,0.0,1.0,0,1,True,,
Delaware,recycling,err,-1.0,0.0500409052078838,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Delaware,recycling,households,632.9651568,63.88850174,527.1550523,738.9059233,,,True,,
Delaware,recycling,ht,0.760100525,0.124877658,0.0,1.0,0,1,True,,
Delaware,recycling,kn,0.275984023,0.062754639,0.0,1.0,0,1,True,,
Delaware,recycling,name,,,,,,,,,recycling
Delaware,recycling,ns,0.729426316,1e-06,0.0,1.0,0,1,True,,
Delaware,recycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
Delaware,recycling,pr,0.1027397266666666,1e-06,0.0,1.0,0,1,True,,
Delaware,recycling,sn,0.1027397266666666,1e-06,0.0,1.0,trash,recycling,False,,
Delaware,trash,att,0.0,1e-06,0.0,1.0,0,1,True,,
Delaware,trash,availability,,,,,,,,True,
Delaware,trash,bin,1.0,1e-06,0.0,1.0,0,1,True,,
