,location,year,bale,material,value
410,North Carolina_Harnett,2020,hdpe_bale,paper,2.241396059191416
411,North Carolina_Harnett,2020,hdpe_bale,pet,0.6825578293349963
412,North Carolina_Harnett,2020,hdpe_bale,film,0.08987875184194155
413,North Carolina_Harnett,2020,hdpe_bale,other,1.08071656311375
414,North Carolina_Harnett,2020,iron_bale,aluminum,0.0
415,North Carolina_Harnett,2020,iron_bale,cardboard,0.0
416,North Carolina_Harnett,2020,iron_bale,iron,4.550385528900001
417,North Carolina_Harnett,2020,iron_bale,glass,0.0
418,North Carolina_Harnett,2020,iron_bale,hdpe,0.0
419,North Carolina_Harnett,2020,iron_bale,paper,0.0
420,North Carolina_Harnett,2020,iron_bale,pet,0.0
421,North Carolina_Harnett,2020,iron_bale,film,0.0035951500736776626
422,North Carolina_Harnett,2020,iron_bale,other,0.0
423,North Carolina_Harnett,2020,aluminum_bale,aluminum,58.85165284044
424,North Carolina_Harnett,2020,aluminum_bale,cardboard,0.0
425,North Carolina_Harnett,2020,aluminum_bale,iron,0.0
426,North Carolina_Harnett,2020,aluminum_bale,glass,10.465886716470008
427,North Carolina_Harnett,2020,aluminum_bale,hdpe,0.0
428,North Carolina_Harnett,2020,aluminum_bale,paper,0.0
429,North Carolina_Harnett,2020,aluminum_bale,pet,0.0
430,North Carolina_Harnett,2020,aluminum_bale,film,0.0
431,North Carolina_Harnett,2020,aluminum_bale,other,0.0
432,Texas_Reagan,2020,vacuum,aluminum,3.464539515
433,Texas_Reagan,2020,vacuum,cardboard,142.04612011500004
434,Texas_Reagan,2020,vacuum,iron,4.157447418
435,Texas_Reagan,2020,vacuum,glass,10.393618545
436,Texas_Reagan,2020,vacuum,hdpe,31.180855635
437,Texas_Reagan,2020,vacuum,paper,38.74899135946701
438,Texas_Reagan,2020,vacuum,pet,31.180855635
